metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
kafka.server.replica_manager.under_min_isr_partition_count,gauge,,,,Number of partitions whose in-sync replicas count is less than minIsr,,,
kafka.server.replica_manager.under_replicated_partitions,gauge,,,,Number of under-replicated partitions (| ISR | < | all replicas |). Alert if value is greater than 0,,,
kafka.cluster.partition.under_min_isr,gauge,,,,Number of partitions whose in-sync replicas count is less than minIsr. These partitions will be unavailable to producers who use acks=all,,,
kafka.controller.kafka_controller.offline_partitions_count,gauge,,,,Number of partitions that don’t have an active leader and are hence not writable or readable. Alert if value is greater than 0,,,
kafka.controller.kafka_controller.active_controller_count,gauge,,,,Number of active controllers in the cluster. Alert if the aggregated sum across all brokers in the cluster is anything other than 1 because there should be exactly one controller per cluster,,,
kafka.server.replica_manager.partition_count,gauge,,,,Number of partitions on this broker. This should be mostly even across all brokers,,,
kafka.server.replica_manager.leader_count,gauge,,,,"Number of leaders on this broker. This should be mostly even across all brokers. If not, set auto.leader.rebalance.enable to true on all brokers in the cluster",,,
kafka.server.replica_fetcher_manager.max_lag,gauge,,,,Maximum lag in messages between the follower and leader replicas. This is controlled by the replica.lag.max.messages config,,,
kafka.network.socket_server.network_processor_avg_idle_percent,gauge,,,,Average fraction of time the network processor threads are idle. Values are between 0 (all resources are used) and 1 (all resources are available),,,
kafka.network.request_channel.request_queue_size,gauge,,,,Size of the request queue. A congested request queue will not be able to process incoming or outgoing requests,,,
kafka.server.fetcher_lag_metrics.consumer_lag,gauge,,,,Lag in number of messages per follower replica. This is useful to know if the replica is slow or has stopped replicating from the leader,,,
kafka.server.delayed_operation_purgatory.purgatory_size,gauge,,,,Number of requests waiting in the producer purgatory. This should be non-zero when acks=all is used on the producer,,,
kafka.server.delayed_operation_purgatory.purgatory_size,gauge,,,,Number of requests waiting in the fetch purgatory. This is high if consumers use a large value for fetch.wait.max.ms ,,,
kafka.server.broker_topic_metrics.bytes_in_per_sec.count,count,,,,Aggregate incoming byte rate (count),,,
kafka.server.broker_topic_metrics.bytes_in_per_sec.fifteen_minute_rate,gauge,,,,Aggregate incoming byte rate (fifteen_minute_rate),,,
kafka.server.broker_topic_metrics.bytes_in_per_sec.five_minute_rate,gauge,,,,Aggregate incoming byte rate (five_minute_rate),,,
kafka.server.broker_topic_metrics.bytes_in_per_sec.one_minute_rate,gauge,,,,Aggregate incoming byte rate (one_minute_rate),,,
kafka.server.broker_topic_metrics.bytes_in_per_sec.mean_rate,gauge,,,,Aggregate incoming byte rate (mean_rate),,,
kafka.server.broker_topic_metrics.bytes_out_per_sec.count,count,,,,Aggregate outgoing byte rate (count),,,
kafka.server.broker_topic_metrics.bytes_out_per_sec.fifteen_minute_rate,gauge,,,,Aggregate outgoing byte rate (fifteen_minute_rate),,,
kafka.server.broker_topic_metrics.bytes_out_per_sec.five_minute_rate,gauge,,,,Aggregate outgoing byte rate (five_minute_rate),,,
