metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
ignite.threads.active,Approximate number of threads that are actively executing tasks.
ignite.threads.pool_size,Current number of threads in the pool.
ignite.threads.largest_size,Largest number of threads that have ever simultaneously been in the pool.
ignite.threads.tasks,Approximate total number of tasks that have been scheduled for execution.
ignite.threads.completed_tasks,Approximate total number of tasks that have completed execution.
ignite.threads.queue_size,Current number of threads in the pool
ignite.threads.core_pool_size,The core number of threads.
ignite.threads.maximum_pool_size,The maximum allowed number of threads.
ignite.allocation_rate,Allocation rate (pages per second) averaged across rateTimeInternal.
ignite.initial_memory_size,Initial memory region size defined by its data region.
ignite.max_memory_size,Maximum memory region size defined by its data region.
ignite.offheap_size,Offheap size in bytes.
ignite.total_allocated_pages,Total number of allocated pages.
ignite.eviction_rate,Eviction rate (pages per second).
ignite.large_entries_pages_percentage,Percentage of pages that are fully occupied by large entries that go beyond page size.
ignite.pages_fill_factor,The percentage of the used space.
ignite.dirty_pages,Number of pages in memory not yet synchronized with persistent storage.
ignite.pages_replace_rate,Rate at which pages in memory are replaced with pages from persistent storage (pages per second).
ignite.physical_memory_pages,Number of pages residing in physical RAM.
ignite.pages_replace_age,Average age at which pages in memory are replaced with pages from persistent storage (milliseconds).
ignite.pages_read,Number of pages read from last restart.
ignite.pages_written,Number of pages written from last restart.
ignite.pages_replaced,Number of pages replaced from last restart.
ignite.offheap_used_size,Total used offheap size in bytes.
ignite.total_allocated_size,Total size of memory allocated in bytes.
ignite.used_checkpoint_buffer_pages,Used checkpoint buffer size in pages.
ignite.used_checkpoint_buffer_size,Used checkpoint buffer size in bytes.
ignite.check_point_buffer_size,Total size in bytes for checkpoint buffer.
ignite.total_started_threads,The total number of threads started.
ignite.heap_memory_initialized,The initial size of memory in bytes; -1 if undefined.
ignite.heap_memory_maximum,The maximum amount of memory in bytes; -1 if undefined.
ignite.received_bytes,Received bytes count.
ignite.oubound_messages_queue_size,Outbound messages queue size.
ignite.sent_messages,Sent messages count.
ignite.sent_bytes,Sent bytes count.
ignite.received_messages,Received messages count.
ignite.total_cpus,The number of CPUs available to the Java Virtual Machine.
ignite.non_heap_memory_initialized,The initial size of non-heap memory in bytes; -1 if undefined.
ignite.non_heap_memory_used,Current non-heap memory size that is used by Java VM.
ignite.non_heap_memory_committed,Amount of non-heap memory in bytes that is committed for the JVM to use.
ignite.non_heap_memory_maximum,Maximum amount of non-heap memory in bytes that can be used for memory management. -1 if undefined.
ignite.current_gc_load,Average time spent in GC since the last update.
ignite.heap_memory_used,Current heap size that is used for object allocation.
ignite.heap_memory_committed,The amount of committed memory in bytes.
ignite.current_cpu_load,The system load average; or a negative value if not available.
